AC	ID	Organism	OrganismId	#Localizations_exp	#Localizations_nonExp	Localization
A5ULF8	DAPA_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
Q2NHW2	DAPA_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O26892	DAPA_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B7E1	DAPA_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
A6US71	DAPA_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
Q3ISQ0	DAPA_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
O29353	DAPB_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
Q5V5D5	DAPB_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
A6UUT2	DAPB_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8THP0	DAPB_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A7I854	DAPB_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (By similarity).
Q46DC3	DAPB_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q12ZG1	DAPB_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q2FNQ9	DAPB_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (By similarity).
Q57865	DAPB_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TVG7	DAPB_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A2SQU7	DAPB_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (By similarity).
A4FXV6	DAPB_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9AB21	DAPB_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VFL4	DAPB_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PXL6	DAPB_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CVI6	DAPB_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
Q6LYR5	DAPB_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
A5ULF7	DAPB_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
Q2NHW0	DAPB_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O26891	DAPB_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A6UNQ4	DAPB_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
Q3ISP9	DAPB_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
O29511	DAPF_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A6UTH4	DAPF_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q58519	DAPF_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TY71	DAPF_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A4FXV0	DAPF_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9AB27	DAPF_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VFK8	DAPF_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q6LYS1	DAPF_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
O27389	DAPF_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B6C1	DAPF_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
Q0W3B6	DAPF_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
Q6F4N1	DCHI_THEKO 	Thermococcus kodakaraensis              	69014	1	0	Cytoplasm.
Q6KZ54	DCUP_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9HLB9	DCUP_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
Q9Y948	DEOC_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
B9LR64	DEOC_HALLT 	Halorubrum lacusprofundi                	416348	0	1	Cytoplasm (By similarity).
Q5UX95	DEOC_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
B0R6I6	DEOC_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HP08	DEOC_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q18FF3	DEOC_HALWD 	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (By similarity).
O26909	DEOC_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
Q3IQA5	DEOC_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
Q8ZXK7	DEOC_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
A4WHP7	DEOC_PYRAR 	Pyrobaculum arsenaticum                 	340102	0	1	Cytoplasm (By similarity).
A1RU26	DEOC_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (By similarity).
B1YB76	DEOC_PYRNV 	Pyrobaculum neutrophilum                	444157	0	1	Cytoplasm (By similarity).
Q9HKB7	DEOC_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
C5A366	DEOC_THEGJ 	Thermococcus gammatolerans              	593117	0	1	Cytoplasm (By similarity).
Q877I0	DEOC_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
Q97CC6	DEOC_THEVO 	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (By similarity).
Q0W6M2	DEOC_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
B0R3S1	DGGGP_HALS3	Halobacterium salinarum                 	478009	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q9HRP0	DGGGP_HALSA	Halobacterium salinarum                 	64091	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q18J00	DGGGP_HALWD	Haloquadratum walsbyi                   	362976	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A2BIU7	DGGGP_HYPBU	Hyperthermus butylicus                  	415426	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A8A9J7	DGGGP_IGNH4	Ignicoccus hospitalis                   	453591	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
B1L6Z7	DGGGP_KORCO	Korarchaeum cryptofilum                 	374847	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A6UVU6	DGGGP_META3	Methanococcus aeolicus                  	419665	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q8TS44	DGGGP_METAC	Methanosarcina acetivorans              	188937	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A7I9E7	DGGGP_METB6	Methanoregula boonei                    	456442	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q46BD9	DGGGP_METBF	Methanosarcina barkeri                  	269797	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q12VF3	DGGGP_METBU	Methanococcoides burtonii               	259564	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q2FN44	DGGGP_METHJ	Methanospirillum hungatei JF-1          	323259	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q57727	DGGGP_METJA	Methanocaldococcus jannaschii           	243232	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q8TWS9	DGGGP_METKA	Methanopyrus kandleri                   	190192	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A2SRL0	DGGGP_METLZ	Methanocorpusculum labreanum            	410358	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A4G0P3	DGGGP_METM5	Methanococcus maripaludis               	402880	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A9A8Y7	DGGGP_METM6	Methanococcus maripaludis               	444158	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A6VHU1	DGGGP_METM7	Methanococcus maripaludis               	426368	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q8PV96	DGGGP_METMA	Methanosarcina mazei                    	192952	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A3CW74	DGGGP_METMJ	Methanoculleus marisnigri               	368407	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q6LWN2	DGGGP_METMP	Methanococcus maripaludis               	267377	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A5ULR8	DGGGP_METS3	Methanobrevibacter smithii              	420247	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A4YI21	DGGGP_METS5	Metallosphaera sedula                   	399549	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q2NGM1	DGGGP_METST	Methanosphaera stadtmanae               	339860	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
O27170	DGGGP_METTH	Methanothermobacter thermautotrophicus  	187420	1	0	Cell membrane; Multi-pass membrane protein.
A0B8A0	DGGGP_METTP	Methanosaeta thermophila                	349307	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A6UQV8	DGGGP_METVS	Methanococcus vannielii                 	406327	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q3INH7	DGGGP_NATPD	Natronomonas pharaonis                  	348780	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q9V2P5	DGGGP_PYRAB	Pyrococcus abyssi                       	272844	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q8TZM7	DGGGP_PYRFU	Pyrococcus furiosus                     	186497	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
O57753	DGGGP_PYRHO	Pyrococcus horikoshii                   	70601	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q4J8K2	DGGGP_SULAC	Sulfolobus acidocaldarius               	330779	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q9UWY6	DGGGP_SULSO	Sulfolobus solfataricus                 	273057	0	1	Cell membrane; Multi-pass membrane protein (Probable).
Q971A3	DGGGP_SULTO	Sulfolobus tokodaii                     	273063	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
C5A1J7	DGGGP_THEGJ	Thermococcus gammatolerans              	593117	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q5JDN5	DGGGP_THEKO	Thermococcus kodakaraensis              	69014	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
B6YW76	DGGGP_THEON	Thermococcus onnurineus                 	523850	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
A1S066	DGGGP_THEPD	Thermofilum pendens                     	368408	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
C6A2C9	DGGGP_THESM	Thermococcus sibiricus                  	604354	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q6LX40	DHA_METMP  	Methanococcus maripaludis               	267377	1	0	Cytoplasm.
Q9YC65	DHE3_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
Q47950	DHE3_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q47951	DHE3_PYREN 	Pyrococcus endeavori.                   	39456	0	1	Cytoplasm (By similarity).
P80319	DHE3_PYRFU 	Pyrococcus furiosus                     	186497	1	0	Cytoplasm.
P0CL73	DHE3_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
P0CL72	DHE3_PYRHR 	Pyrococcus horikoshii.                  	53953	0	1	Cytoplasm (By similarity).
Q09115	DHE3_PYRWO 	Pyrococcus woesei.                      	2262	1	0	Cytoplasm.
O59650	DHE3_THEKO 	Thermococcus kodakaraensis              	69014	1	0	Cytoplasm.
Q56304	DHE3_THELI 	Thermococcus litoralis.                 	2265	1	0	Cytoplasm.
O29573	DHSD_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cell membrane; Multi-pass membrane protein (Probable).
Q9HQ63	DHSD_HALSA 	Halobacterium salinarum                 	64091	0	1	Cell membrane; Multi-pass membrane protein (Probable).
P72109	DHSD_NATPH 	Natronomonas pharaonis                  	2257	0	1	Cell membrane; Multi-pass membrane protein (Probable).
Q08717	DHSD_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cell membrane; Multi-pass membrane protein (Probable).
O29976	DIPPS_ARCFU	Archaeoglobus fulgidus                  	224325	0	1	Membrane; Multi-pass membrane protein (Potential).
Q8U1Z6	DIPPS_PYRFU	Pyrococcus furiosus                     	186497	0	1	Membrane; Multi-pass membrane protein (Potential).
Q5JDA9	DIPPS_THEKO	Thermococcus kodakaraensis              	69014	0	1	Membrane; Multi-pass membrane protein (Potential).
Q5UYG6	DLDH2_HALMA	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
Q5UWH2	DLDH3_HALMA	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
Q9HN74	DLDH_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q04829	DLDH_HALVD 	Haloferax volcanii                      	309800	1	0	Cytoplasm.
B9LUC6	DNAJ_HALLT 	Halorubrum lacusprofundi                	416348	0	1	Cytoplasm (By similarity).
Q5UXH9	DNAJ_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
Q9HHB8	DNAJ_HALMT 	Haloferax mediterranei                  	523841	0	1	Cytoplasm (By similarity).
B0R3H3	DNAJ_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HRY3	DNAJ_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q18GZ3	DNAJ_HALWD 	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (By similarity).
Q8TQR1	DNAJ_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
P0CW07	DNAJ_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
P0CW06	DNAJ_METMZ 	Methanosarcina mazei                    	2209	0	1	Cytoplasm (By similarity).
Q9UXR9	DNAJ_METTE 	Methanosarcina thermophila.             	2210	0	1	Cytoplasm (By similarity).
O27352	DNAJ_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
Q3IUB7	DNAJ_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
Q6L0S6	DNAJ_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9HJ83	DNAJ_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
Q97BG9	DNAJ_THEVO 	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (By similarity).
P97224	DOXA_ACIAM 	Acidianus ambivalens                    	2283	1	0	Cell membrane; Single-pass membrane protein.
P97207	DOXD_ACIAM 	Acidianus ambivalens                    	2283	1	0	Cell membrane; Multi-pass membrane protein.
A1RVM8	DPDH_PYRIL 	Pyrobaculum islandicum                  	384616	1	0	Cell membrane; Peripheral membrane protein.
Q8PYH6	DPO41_METMA	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
Q8PT42	DPO42_METMA	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
B0R4P0	DPO4_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HQT4	DPO4_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q8TIW3	DPO4_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A3CSG3	DPO4_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
A4YEC1	DPO4_METS5 	Metallosphaera sedula                   	399549	0	1	Cytoplasm (By similarity).
A9A3A9	DPO4_NITMS 	Nitrosopumilus maritimus                	436308	0	1	Cytoplasm (By similarity).
Q6KZW2	DPO4_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q4JB80	DPO4_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
P96022	DPO4_SULSF 	Sulfolobus solfataricus.                	2287	0	1	Cytoplasm (Probable).
Q97W02	DPO4_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (Probable).
Q9HMP7	DPS_HALSA  	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q8U1L3	DPS_PYRFU  	Pyrococcus furiosus                     	186497	0	1	Cytoplasm, nucleoid (By similarity).
P95855	DPS_SULSO  	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm, nucleoid (By similarity).
Q59109	DSRA_ARCFU 	Archaeoglobus fulgidus                  	224325	1	0	Membrane.
Q59110	DSRB_ARCFU 	Archaeoglobus fulgidus                  	224325	1	0	Membrane.
Q2NG79	DTD_METST  	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
Q2FNX9	ECFA1_METHJ	Methanospirillum hungatei JF-1          	323259	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q2FRT7	ECFA2_METHJ	Methanospirillum hungatei JF-1          	323259	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q8TI16	ECFA_METAC 	Methanosarcina acetivorans              	188937	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q58488	ECFA_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cell membrane; Peripheral membrane protein (By similarity).
A3CVD3	ECFA_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q6LX68	ECFA_METMP 	Methanococcus maripaludis               	267377	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q2NHA1	ECFA_METST 	Methanosphaera stadtmanae               	339860	0	1	Cell membrane; Peripheral membrane protein (By similarity).
O27739	ECFA_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q9YAV0	EF1A_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O29325	EF1A_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A8MAJ1	EF1A_CALMQ 	Caldivirga maquilingensis               	397948	0	1	Cytoplasm (By similarity).
A0RUM4	EF1A_CENSY 	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
P41203	EF1A_DESMO 	Desulfurococcus mobilis.                	2274	0	1	Cytoplasm (By similarity).
P16018	EF1A_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
B0R8C3	EF1A_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HM89	EF1A_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q18EY5	EF1A_HALWD 	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (By similarity).
A2BN41	EF1A_HYPBU 	Hyperthermus butylicus                  	415426	0	1	Cytoplasm (By similarity).
A8ABM5	EF1A_IGNH4 	Ignicoccus hospitalis                   	453591	0	1	Cytoplasm (By similarity).
A6UV43	EF1A_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8TRC4	EF1A_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A7I656	EF1A_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (By similarity).
Q464Z4	EF1A_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q12WT3	EF1A_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q2FRI3	EF1A_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (By similarity).
Q57770	EF1A_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TYP6	EF1A_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A2STF0	EF1A_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (By similarity).
A4FWE9	EF1A_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9A9U3	EF1A_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VGV6	EF1A_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PUR8	EF1A_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CTG3	EF1A_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
Q6LXI1	EF1A_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
B8GIQ3	EF1A_METPE 	Methanosphaerula palustris              	521011	0	1	Cytoplasm (By similarity).
A5ULM5	EF1A_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
A4YCR6	EF1A_METS5 	Metallosphaera sedula                   	399549	0	1	Cytoplasm (By similarity).
Q2NEL1	EF1A_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O27132	EF1A_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B7D6	EF1A_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
P07810	EF1A_METVA 	Methanococcus vannielii.                	2187	0	1	Cytoplasm (By similarity).
A6UQ14	EF1A_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
Q74MI6	EF1A_NANEQ 	Nanoarchaeum equitans                   	228908	0	1	Cytoplasm (By similarity).
Q3IUD8	EF1A_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
Q6L202	EF1A_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9V0V7	EF1A_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
O93729	EF1A_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
A4WKK8	EF1A_PYRAR 	Pyrobaculum arsenaticum                 	340102	0	1	Cytoplasm (By similarity).
A3MV69	EF1A_PYRCJ 	Pyrobaculum calidifontis                	410359	0	1	Cytoplasm (By similarity).
Q8U152	EF1A_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O59153	EF1A_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
A1RRJ3	EF1A_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (By similarity).
P26751	EF1A_PYRWO 	Pyrococcus woesei.                      	2262	0	1	Cytoplasm (By similarity).
A3DMQ1	EF1A_STAMF 	Staphylothermus marinus                 	399550	0	1	Cytoplasm (By similarity).
P17196	EF1A_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
P35021	EF1A_SULSO 	Sulfolobus solfataricus                 	273057	1	0	Cytoplasm.
Q976B1	EF1A_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
P19486	EF1A_THEAC 	Thermoplasma acidophilum                	273075	1	0	Cytoplasm.
P17197	EF1A_THECE 	Thermococcus celer.                     	2264	0	1	Cytoplasm (By similarity).
C5A5P4	EF1A_THEGJ 	Thermococcus gammatolerans              	593117	0	1	Cytoplasm (By similarity).
Q5JFZ4	EF1A_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
B6YVG2	EF1A_THEON 	Thermococcus onnurineus                 	523850	0	1	Cytoplasm (By similarity).
A1RXW9	EF1A_THEPD 	Thermofilum pendens                     	368408	0	1	Cytoplasm (By similarity).
C6A4R7	EF1A_THESM 	Thermococcus sibiricus                  	604354	0	1	Cytoplasm (By similarity).
Q979T1	EF1A_THEVO 	Thermoplasma volcanium                  	273116	1	0	Cytoplasm.
Q0W8G2	EF1A_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	1	0	Cytoplasm.
Q9YC19	EF2_AERPE  	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O28385	EF2_ARCFU  	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A0RW30	EF2_CENSY  	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
B8D6B2	EF2_DESK1  	Desulfurococcus kamchatkensis           	490899	0	1	Cytoplasm (By similarity).
P33159	EF2_DESMO  	Desulfurococcus mobilis.                	2274	0	1	Cytoplasm (By similarity).
Q5UZS7	EF2_HALMA  	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
C7NYH7	EF2_HALMD  	Halomicrobium mukohataei                	485914	0	1	Cytoplasm (By similarity).
B0R8C8	EF2_HALS3  	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HM85	EF2_HALSA  	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
A8ACA7	EF2_IGNH4  	Ignicoccus hospitalis                   	453591	0	1	Cytoplasm (By similarity).
B1L7Q0	EF2_KORCO  	Korarchaeum cryptofilum                 	374847	0	1	Cytoplasm (By similarity).
A6UV44	EF2_META3  	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8TRC3	EF2_METAC  	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A7I4X4	EF2_METB6  	Methanoregula boonei                    	456442	0	1	Cytoplasm (By similarity).
Q464Z3	EF2_METBF  	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
O93632	EF2_METBU  	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q58448	EF2_METJA  	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TXJ4	EF2_METKA  	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A4FWF0	EF2_METM5  	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9A9U4	EF2_METM6  	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VGV5	EF2_METM7  	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PUR7	EF2_METMA  	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CXM8	EF2_METMJ  	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
Q6LXI2	EF2_METMP  	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
O93637	EF2_METMT  	Methanococcoides methylutens.           	2226	0	1	Cytoplasm (By similarity).
B8GJK8	EF2_METPE  	Methanosphaerula palustris              	521011	0	1	Cytoplasm (By similarity).
D3E3N9	EF2_METRM  	Methanobrevibacter ruminantium          	634498	0	1	Cytoplasm (By similarity).
A5ULM6	EF2_METS3  	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
A4YCV9	EF2_METS5  	Metallosphaera sedula                   	399549	0	1	Cytoplasm (By similarity).
Q2NEL0	EF2_METST  	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O93640	EF2_METTE  	Methanosarcina thermophila.             	2210	0	1	Cytoplasm (By similarity).
O27131	EF2_METTH  	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B7D5	EF2_METTP  	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
P09604	EF2_METVS  	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
